ring_m,ring_f,ring,couple_id,observer,year,brood_size,laying_date,laying_date_ymd,morph,sex,age,color_score_median,color_score_median_trans,color_score_median_trans_ord,morph_f,morph_m,parent_combination,color_score_median_f,color_score_median_trans_f,color_score_median_trans_ord_f,color_score_median_m,color_score_median_trans_m,color_score_median_trans_ord_m,colour_score_median_midparent,colour_score_median_midparent_trans,breed_snow_depth_mean,breed_snow_days_n,breed_temp_air_mean,breed_temp_air_CV
575,554,657,277,a,2005,4,4,2005-04-04,gray,female,2,6,3,3,gray,brown,gray_brown,6,3,3,13,4,4,9,3,1,1,7.54,0.49
579,578,124,292,a,2002,4,2,2002-04-02,brown,female,2,12,3,3,gray,brown,gray_brown,7,2,4,13,4,4,10,3,3,2,8.68,0.52
583,704,711,390,b,2005,4,2,2005-04-02,brown,male,4,13,4,4,brown,brown,brown_brown,13,4,4,13,4,4,13,4,1,2,7.32,0.51
583,704,712,390,b,2005,4,2,2005-04-02,brown,female,2,13,4,4,brown,brown,brown_brown,13,4,4,13,4,4,13,4,1,2,7.32,0.51
592,636,696,340,a,2008,4,-26,2008-03-05,brown,male,3,13,4,4,gray,brown,gray_brown,6,3,3,11,2,2,8,2,4.76,17,3.12,0.55
595,599,720,305,a,2005,3,1,2005-04-01,gray,male,4,6,3,3,gray,gray,gray_gray,5,4,2,6,3,3,5,3,1.33,3,7.16,0.51
595,599,721,305,a,2005,3,1,2005-04-01,gray,female,5,6,3,3,gray,gray,gray_gray,5,4,2,6,3,3,5,3,1.33,3,7.16,0.51
595,599,722,305,a,2005,3,1,2005-04-01,gray,female,2,8,1,5,gray,gray,gray_gray,5,4,2,6,3,3,5,3,1.33,3,7.16,0.51
595,599,744,305,a,2008,5,-20,2008-03-11,gray,female,2,5,4,2,gray,gray,gray_gray,5,4,2,6,3,3,5,3,3.55,11,4.45,0.55
596,717,736,400,a,2007,2,14,2007-04-14,gray,female,2,6,3,3,gray,gray,gray_gray,4,5,1,5,4,2,4,4,0,0,10.92,0.49
598,594,600,302,b,2005,6,-5,2005-03-26,gray,female,2,4,5,1,gray,brown,gray_brown,7,2,4,12,3,3,9,2,8,9,5.46,0.45
601,510,801,245,b,2009,5,-26,2009-03-05,gray,female,3,4,5,1,brown,gray,brown_gray,10,1,1,5,4,2,7,2,21.38,32,1.64,0.48
620,703,713,389,a,2005,3,-3,2005-03-28,gray,male,3,7,2,4,gray,brown,gray_brown,6,3,3,10,1,1,8,2,5.14,7,5.99,0.47
620,703,714,389,b,2005,3,-3,2005-03-28,brown,male,3,10,1,1,gray,brown,gray_brown,6,3,3,10,1,1,8,2,5.14,7,5.99,0.47
626,189,702,731,b,2004,3,23,2004-04-23,gray,male,4,6,3,3,gray,gray,gray_gray,5,4,2,6,3,3,5,3,0,0,10.4,0.39
627,590,701,299,b,2004,4,12,2004-04-12,gray,male,2,5,4,2,gray,gray,gray_gray,5,4,2,5,4,2,5,4,0,0,9.36,0.46
632,630,637,333,a,2003,2,-12,2003-03-19,brown,female,3,13,4,4,brown,brown,brown_brown,12,3,3,10,1,1,11,2,2.5,6,3.6,0.49
645,649,658,351,b,2005,5,4,2005-04-04,gray,male,4,5,4,2,gray,gray,gray_gray,5,4,2,8,1,5,6,2,1,1,7.54,0.49
651,473,679,213,b,2007,2,1,2007-04-01,brown,female,2,13,4,4,gray,brown,gray_brown,6,3,3,12,3,3,9,3,0,0,7.49,0.55
653,473,660,214,a,2005,6,7,2005-04-07,brown,female,2,13,4,4,gray,brown,gray_brown,6,3,3,13,4,4,9,3,1,1,7.79,0.48
653,473,661,214,a,2005,6,7,2005-04-07,gray,female,5,7,2,4,gray,brown,gray_brown,6,3,3,13,4,4,9,3,1,1,7.79,0.48
654,608,225009,314,"",2005,4,9,2005-04-09,"","",,,,,brown,brown,brown_brown,10,1,1,12,3,3,11,2,1,1,8.02,0.47
